route,segment,t,v_ego,long_active,d_rel,co_radar,headway_s,ttc_s,v_lead,plan_src
data,segment_18,12245014375813,5.875,True,50.875,True,8.659574468085106,,9.516160011291504,e2e
data,segment_18,12245064880211,5.875,True,50.875,True,8.659574468085106,,9.55695915222168,e2e
data,segment_18,12245116412820,5.875,True,51.375,True,8.74468085106383,,9.980291366577148,e2e
data,segment_18,12245164130277,5.875,True,51.375,True,8.74468085106383,,10.016804695129395,e2e
data,segment_18,12245213921861,5.875,True,51.70000076293945,True,8.800000129862035,,10.20853042602539,e2e
data,segment_18,12245266998945,5.859375,True,51.70000076293945,True,8.823466796875,,10.074189186096191,e2e
data,segment_18,12245314490534,5.86938023330288,True,52.17499923706055,True,8.88935409926579,,10.413597106933594,e2e
data,segment_18,12245366468322,5.875,True,52.17499923706055,True,8.880850933967753,,10.349023818969727,e2e
data,segment_18,12245414230362,5.875,True,52.525001525878906,True,8.940425791638964,,10.43859577178955,e2e
data,segment_18,12245466723740,5.875,True,52.525001525878906,True,8.940425791638964,,10.308138847351074,e2e
data,segment_18,12245516345546,5.875,True,52.974998474121094,True,9.017021016871675,,10.533148765563965,e2e
data,segment_18,12245566605798,5.875,True,52.974998474121094,True,9.017021016871675,,10.437392234802246,e2e
data,segment_18,12245866430761,5.875,True,46.775001525878906,True,7.961702387383643,,5.875,e2e
data,segment_18,12245916547689,5.875,True,46.974998474121094,True,7.995744421126995,,6.848909854888916,e2e
data,segment_18,12245966379116,5.875,True,46.974998474121094,True,7.995744421126995,,6.815112590789795,e2e
data,segment_18,12246016758787,5.866042784026301,True,47.32500076293945,True,8.067619433634064,,7.184293270111084,e2e
data,segment_18,12246066859674,5.875,True,47.32500076293945,True,8.055319278798205,,7.14436149597168,e2e
data,segment_18,12246114130759,5.8862512757900545,True,47.474998474121094,True,8.065404660753119,,7.186171531677246,e2e
data,segment_18,12246166185781,5.875,True,47.474998474121094,True,8.080850804105719,,7.130855083465576,e2e
data,segment_18,12246216664038,5.875,True,47.54999923706055,True,8.09361689141456,,7.029831886291504,e2e
data,segment_18,12246266612958,5.890625,True,47.54999923706055,True,8.072148411596485,,7.028555393218994,cruise
data,segment_18,12246316368610,5.890625,True,47.79999923706055,True,8.114588729898873,,7.259930610656738,cruise
data,segment_18,12246367064667,5.890625,True,47.79999923706055,True,8.114588729898873,,7.30876350402832,cruise
data,segment_18,12246416248537,5.90625,True,47.875,True,8.105820105820106,,7.238420486450195,cruise
data,segment_18,12246463916576,5.90625,True,47.875,True,8.105820105820106,,7.171123027801514,cruise
